title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
Underwater,443791,1/8/2020,1h 35m,4,"Action,Horror,Science Fiction,Thriller",63,5,English,"50,000,000.00","40,882,928.00",https://www.themoviedb.org/movie/443791
Barbie and the Three Musketeers,23566,9/15/2009,1h 21m,2,"Animation,Family",72,2,English, NaN, NaN,https://www.themoviedb.org/movie/23566
Peligro en tu mirada,841297,8/6/2021,2,2,71,0,2, NaN, NaN,,https://www.themoviedb.org/movie/841297
Sonic,624956,1/5/2013,18m,1,Science Fiction,73,0,English, NaN, NaN,https://www.themoviedb.org/movie/624956
Night Teeth,669671,10/20/2021,1h 47m,2,"Thriller,Horror",0,0,English, NaN, NaN,https://www.themoviedb.org/movie/669671
Open 24 Hours,532638,8/27/2018,1h 42m,2,"Horror,Thriller",54,8,English, NaN, NaN,https://www.themoviedb.org/movie/532638
Jingle Jangle: A Christmas Journey,622855,11/6/2020,2h 2m,3,"Family,Fantasy,Music",67,4,English, NaN, NaN,https://www.themoviedb.org/movie/622855
The Mummy Returns,1734,5/4/2001,2h 10m,3,"Adventure,Action,Fantasy",63,11,English,"98,000,000.00","443,280,904.00",https://www.themoviedb.org/movie/1734
Bulbbul,714338,6/24/2020,1h 34m,2,"Horror,Fantasy",67,12,Hindi, NaN, NaN,https://www.themoviedb.org/movie/714338
8 Mile,65,11/8/2002,1h 50m,2,"Music,Drama",71,12,English,"41,000,000.00","242,875,078.00",https://www.themoviedb.org/movie/65
Don't Kill It,405882,8/27/2016,1h 33m,2,"Fantasy,Horror",62,6,English,"3,500,000.00", NaN,https://www.themoviedb.org/movie/405882
Legend Quest: The Legend of the Guanajuato Mummies,268690,10/30/2014,1h 23m,4,"Animation,Horror,Adventure,Comedy",77,2,Spanish; Castilian, NaN,"6,300,000.00",https://www.themoviedb.org/movie/268690
In This Corner of the World,378108,11/12/2016,2h 10m,5,"Drama,Animation,Romance,War,History",81,10,Japanese, NaN,"19,496,308.00",https://www.themoviedb.org/movie/378108
The Girl on the Train,346685,10/5/2016,1h 52m,4,"Crime,Drama,Mystery,Thriller",64,24,English,"45,000,000.00","173,185,859.00",https://www.themoviedb.org/movie/346685
Innocent Witness,570508,2/13/2019,2h 9m,1,Drama,77,2,Korean, NaN, NaN,https://www.themoviedb.org/movie/570508
Chicken Run,7443,6/21/2000,1h 24m,3,"Animation,Comedy,Family",67,10,English,"45,000,000.00","224,834,564.00",https://www.themoviedb.org/movie/7443
Halo: Landfall,394394,10/26/2007,7m,2,"Action,Science Fiction",57,1,English, NaN, NaN,https://www.themoviedb.org/movie/394394
Rashmi Rocket,794819,10/15/2021,2h 9m,1,Drama,100,4,Hindi, NaN, NaN,https://www.themoviedb.org/movie/794819
Souvenir,585381,3/4/2021,1h 53m,1,Drama,65,2,Spanish; Castilian, NaN, NaN,https://www.themoviedb.org/movie/585381
Trainwreck,271718,7/17/2015,2h 5m,2,"Comedy,Romance",58,8,English,"35,000,000.00","140,795,793.00",https://www.themoviedb.org/movie/271718
House of Wax,10066,4/30/2005,1h 53m,2,"Horror,Drama",59,10,English,"40,000,000.00","68,766,121.00",https://www.themoviedb.org/movie/10066
Epic,116711,5/15/2013,1h 42m,4,"Animation,Adventure,Family,Fantasy",65,5,English,"100,000,000.00","268,426,634.00",https://www.themoviedb.org/movie/116711
The Moment You Fall in Love,472516,12/17/2016,1h 3m,4,"Drama,Animation,Romance,Comedy",76,4,Japanese, NaN, NaN,https://www.themoviedb.org/movie/472516
Night at the Museum: Secret of the Tomb,181533,12/17/2014,1h 38m,4,"Adventure,Comedy,Fantasy,Family",62,4,English,"127,000,000.00","363,204,635.00",https://www.themoviedb.org/movie/181533
Barbie Fairytopia: Magic of the Rainbow,16962,3/13/2007,1h 15m,4,"Animation,Family,Fantasy,Romance",68,2,English, NaN, NaN,https://www.themoviedb.org/movie/16962
Alpha,399360,8/17/2018,1h 37m,2,"Adventure,Drama",64,14,English,"51,000,000.00","35,808,437.00",https://www.themoviedb.org/movie/399360
Pan's Labyrinth,1417,8/25/2006,1h 58m,3,"Fantasy,Drama,War",77,19,Spanish; Castilian,"19,000,000.00","83,258,226.00",https://www.themoviedb.org/movie/1417
Romance,26338,4/14/1999,1h 39m,2,"Drama,Romance",53,14,French, NaN,"1,314,053.00",https://www.themoviedb.org/movie/26338
American Wedding,8273,8/1/2003,1h 43m,2,"Comedy,Romance",62,11,English,"55,000,000.00","231,449,203.00",https://www.themoviedb.org/movie/8273
åŠ‡å ´ç‰ˆ ä¸ƒã¤ã®å¤§ç½ª å…‰ã«å‘ªã‚ã‚Œã—è€…ãŸã¡,880050,7/2/2021,1,1,0,0,1,1, NaN,,https://www.themoviedb.org/movie/880050
Emperor,127372,9/14/2012,1h 45m,3,"Drama,History,War",61,7,English, NaN,"3,346,265.00",https://www.themoviedb.org/movie/127372
Tokyo Revengers,698201,7/9/2021,2h,2,"Action,Drama",73,1,Japanese, NaN, NaN,https://www.themoviedb.org/movie/698201
Max Steel,286567,10/14/2016,1h 32m,3,"Action,Adventure,Science Fiction",56,1,English,"10,000,000.00","6,272,403.00",https://www.themoviedb.org/movie/286567
Sausage Party,223702,7/11/2016,1h 29m,4,"Adventure,Animation,Comedy,Fantasy",57,8,English,"19,000,000.00","140,705,322.00",https://www.themoviedb.org/movie/223702
